term	idf
infrastruktur wir	6.084267
infrastruktur zu	6.206869
infrastrukturen	5.678802
infrastrukturprojekte	6.569775
inge	6.206869
inge gräßle	6.206869
ingenieur	6.857457
ingenieure	6.046527
ingenieurskunst	6.569775
ingo	6.010159
ingo hahn	6.703306
ingo vogel	6.777414
inhaftiert	6.944468
inhalt	5.492216
inhalte	5.492216
inhalten	6.297841
inhaltlich	5.183480
inhaltliche	6.297841
inhaltlichen	6.397925
initiative	4.623865
initiative der	6.857457
initiativen	4.972916
initiativen die	6.777414
initiativen und	6.944468
inklusion	5.845856
inklusive	4.923523
inklusive der	6.857457
inklusive des	6.509150
inklusive ihrer	6.451992
inklusiven	6.857457
inkompetenz	6.634313
inkrafttreten	6.944468
inland	5.628791
inländische	6.857457
inmitten	6.206869
innen	3.549350
innen die	6.084267
innen in	5.816003
innen mit	6.451992
innen und	5.167976
innenausschuss	6.297841
innenminister	4.688403
innenminister alexander	6.857457
innenminister dobrindt	6.251321
innenministerin	6.703306
innenministerium	5.876628
innenministeriums	6.703306
innenministers	6.703306
innenpolitik	5.816003
innenpolitisch	6.123488
innenpolitische	6.703306
innenpolitischen	6.703306
innenstadt	6.634313
innenstädte	6.634313
innenstädten	6.634313
innere	4.757396
innere sicherheit	5.248019
innere und	6.509150
inneren	4.809764
inneren sicherheit	5.653484
innerhalb	3.904284
innerhalb der	4.747244
innerhalb des	6.509150
innerhalb eines	6.944468
innerhalb von	5.535701
innerhalb weniger	6.397925
innern	5.492216
innovation	4.084868
innovation für	6.857457
innovation und	5.513722
innovationen	4.177578
innovationen die	6.777414
innovationen und	5.678802
innovationen zu	6.569775
innovations	6.569775
innovations und	6.703306
innovationsfreiheitsgesetz	6.703306
innovationsfähigkeit	6.857457
innovationskraft	5.410538
innovationskraft und	6.944468
innovationspolitik	6.857457
innovationsprogramm	6.857457
innovativ	6.397925
innovative	5.281920
innovativen	5.876628
innovativer	6.634313
innovatives	6.944468
ins	2.608962
ins amt	6.857457
ins auge	6.777414
ins ausland	4.717391
ins auswärtige	6.944468
ins feuer	6.634313
ins gefängnis	6.944468
ins gesetz	6.857457
ins gesicht	5.372072
ins gespräch	6.346631
ins grundgesetz	6.206869
ins handeln	6.634313
ins jahr	6.944468
ins land	5.353379
ins leben	5.845856
ins leere	6.857457
ins machen	6.857457
ins parlament	6.451992
ins sondervermögen	6.777414
ins spiel	6.857457
ins stammbuch	6.569775
ins visier	6.634313
ins wanken	6.944468
ins zentrum	6.084267
insbesondere	2.885594
insbesondere an	6.634313
insbesondere auch	5.335030
insbesondere auf	6.251321
insbesondere bei	5.450543
insbesondere den	6.451992
insbesondere der	5.391120
insbesondere die	4.831504
insbesondere durch	6.509150
insbesondere für	5.215229
insbesondere im	5.758845
insbesondere in	5.492216
insbesondere mit	6.164310
insbesondere von	6.164310
insekten	6.703306
insgesamt	3.226471
insgesamt afghanische	6.569775
insgesamt ist	6.634313
insgesamt mehr	6.944468
insgesamt milliarden	5.410538
insgesamt millionen	6.297841
insgesamt und	6.703306
insgesamt zu	6.509150
insgesamt über	6.777414
insofern	4.498176
insofern ist	5.941166
insolvenz	6.084267
insolvenzen	6.010159
insoweit	5.816003
instabilität	6.010159
instagram	6.397925
instandhaltung	6.777414
institut	4.767653
institut der	6.251321
institut für	6.010159
institute	6.123488
institution	5.758845
institutionen	4.422383
institutionen und	6.297841
instituts	6.010159
instrument	4.154978
instrument das	6.509150
instrument der	6.346631
instrument für	6.703306
instrument um	6.634313
instrument zur	6.777414
instrumentalisieren	6.164310
instrumentalisiert	6.297841
instrumentalisierung	6.944468
instrumente	4.831504
instrumente die	6.944468
instrumenten	6.509150
instrumentenkasten	6.944468
inszenieren	6.297841
inszeniert	6.569775
intakte	6.084267
integration	4.318483
integration in	6.397925
integration ist	6.944468
integration und	6.206869
integration von	6.397925
integrationskurse	6.569775
integrieren	5.816003
integriert	5.758845
integrierte	6.634313
integrierten	6.569775
integrität	5.787015
intelligenz	4.820575
intelligenz in	6.944468
intelligenz und	6.634313
intensiv	4.614976
intensiv mit	6.944468
intensive	5.876628
intensiven	6.569775
intensiver	6.251321
intensivieren	6.397925
interessant	4.853727
interessant ist	6.703306
interessante	6.397925
interessanten	6.857457
interessanterweise	6.944468
interesse	3.412774
interesse an	5.581163
interesse daran	5.758845
interesse dass	6.569775
interesse der	5.372072
interesse des	6.509150
interesse deutschlands	6.509150
interesse für	6.857457
interesse ist	6.569775
interesse und	6.509150
interesse unserer	6.777414
interessen	3.537229
interessen der	5.299312
interessen des	6.569775
interessen deutschlands	6.634313
interessen die	6.944468
interessen in	6.569775
interessen und	5.908376
interessen unseres	6.857457
interessen vertreten	6.703306
interessen von	6.297841
interessen zu	6.777414
interesses	6.857457
interessieren	5.372072
interessiert	5.108257
international	4.286118
internationale	3.459041
internationale gemeinschaft	6.084267
internationale ordnung	6.509150
internationale organisationen	6.123488
internationale solidarität	6.777414
internationale tag	6.569775
internationale verantwortung	6.451992
internationale zusammenarbeit	5.678802
internationalen	3.426161
internationalen gemeinschaft	6.084267
internationalen klimaschutz	6.944468
internationalen organisationen	6.634313
internationalen partnern	6.206869
internationalen verantwortung	6.944468
internationalen vergleich	6.164310
internationalen wettbewerb	5.941166
internationalen zusammenarbeit	6.777414
internationaler	4.757396
internationaler akteur	6.569775
internationaler ebene	6.944468
internationales	6.084267
internationales recht	6.857457
internet	4.778015
internet und	6.777414
intervention	6.944468
interview	6.206869
intransparent	6.509150
intransparenz	6.046527
invasion	6.857457
investieren	2.862319
investieren aber	6.206869
investieren damit	6.857457
investieren das	5.628791
investieren dass	6.857457
investieren die	6.251321
investieren gezielt	6.944468
investieren ich	6.857457
investieren in	4.452014
investieren können	6.251321
investieren milliarden	6.251321
investieren mit	6.703306
investieren müssen	6.569775
investieren nicht	6.857457
investieren sie	5.876628
investieren und	5.011630
investieren wir	4.490333
investieren wollen	6.346631
investiert	3.904284
investiert das	6.777414
investiert in	6.164310
investiert und	6.451992
investiert werden	5.604694
investiert wird	5.758845
investierte	6.944468
investiertes	6.777414
investiertes geld	6.777414
investition	4.960337
investition in	5.281920
investitionen	2.847098
investitionen auch	6.777414
investitionen aus	6.634313
investitionen das	6.451992
investitionen die	5.653484
investitionen für	6.206869
investitionen im	6.451992
investitionen in	3.615516
investitionen sind	6.451992
investitionen und	5.152709
investitionen von	6.777414
investitionen wir	6.857457
investitionen zu	6.346631
investitions	6.857457
investitionsanreize	6.857457
investitionsbedarf	6.634313
investitionsbooster	5.183480
investitionshaushalt	6.451992
investitionsmittel	6.346631
investitionsoffensive	6.509150
investitionsprogramm	5.816003
investitionsquote	6.397925
investitionssicherheit	6.297841
investitionssofortprogramm	6.397925
investitionsstau	5.353379
investoren	5.051904
investoren und	6.857457
inwieweit	6.451992
inzwischen	3.789404
inzwischen auch	6.451992
inzwischen bestätigt	6.569775
inzwischen die	6.944468
ip	6.010159
ip adressen	6.123488
irak	6.346631
iran	5.079684
iran und	6.703306
iranische	6.634313
iranischen	6.297841
irene	6.569775
irene mihalic	6.569775
irgendein	5.816003
irgendeine	5.450543
irgendeinem	6.944468
irgendeinen	6.297841
irgendeiner	5.704777
irgendeiner form	6.703306
irgendetwas	5.137671
irgendjemand	6.346631
irgendwann	4.273459
irgendwann mal	6.569775
irgendwann sondern	6.703306
irgendwas	5.317012
irgendwelche	4.899712
irgendwelchen	5.758845
irgendwie	4.224370
irgendwo	4.788487
irgendwo in	6.703306
irini	6.397925
ironie	6.703306
irre	5.604694
irreführend	6.944468
irreguläre	6.777414
irreguläre migration	6.857457
irritiert	6.084267
irrsinn	5.281920
irrt	6.397925
irrtum	6.857457
irrweg	5.581163
is	6.206869
isabel	6.251321
isabel cademartori	6.703306
isabelle	6.634313
isabelle vandre	6.634313
islam	6.509150
islamische	6.777414
islamischen	6.777414
islamismus	5.876628
islamisten	5.816003
islamistische	6.123488
islamistischen	5.975068
islamistischer	6.944468
isolation	6.569775
isoliert	6.206869
israel	4.490333
israel die	6.509150
israel hat	6.509150
israel in	6.509150
israel ist	6.857457
israel und	5.628791
israelis	6.164310
israelis und	6.944468
israelische	5.653484
israelische regierung	6.346631
israelischen	5.372072
israelischen regierung	6.569775
israels	5.317012
ist aber	3.125757
ist abgelaufen	4.998558
ist absolut	5.845856
ist absurd	6.010159
ist allein	6.703306
ist allerdings	6.010159
ist alles	4.678924
ist als	4.669535
ist also	4.400721
ist am	5.450543
ist an	4.788487
ist angesichts	6.297841
ist angesprochen	6.346631
ist auch	2.581949
ist auf	4.747244
ist aus	4.788487
ist ausdruck	5.558174
ist bei	4.888016
ist beim	6.634313
ist bekannt	6.857457
ist bereit	6.944468
ist bereits	5.758845
ist beschämend	6.634313
ist besonders	6.164310
ist besser	6.569775
ist bis	6.206869
ist bisher	6.857457
ist bitter	6.569775
ist brandgefährlich	6.569775
ist christian	6.857457
ist da	4.498176
ist dabei	4.597431
ist dafür	5.450543
ist daher	5.264826
ist damit	5.167976
ist dann	4.267190
ist daran	6.703306
ist darauf	6.857457
ist darf	6.857457
ist darum	6.944468
ist darüber	6.634313
ist das	2.045950
ist dass	3.109915
ist davon	6.634313
ist dazu	5.941166
ist dem	6.123488
ist den	5.372072
ist denn	4.407890
ist der	2.382016
ist derzeit	6.777414
ist deshalb	5.024875
ist deswegen	5.264826
ist deutlich	6.123488
ist deutschland	5.317012
ist die	2.025151
ist dies	5.876628
ist diese	4.331728
ist diesen	6.944468
ist dieser	4.778015
ist dieses	5.065697
ist doch	3.456259
ist dort	6.084267
ist dr	4.865027
ist dramatisch	6.346631
ist dringend	5.758845
ist durch	5.975068
ist eben	4.563240
ist ebenfalls	6.703306
ist ebenso	6.634313
ist eher	6.857457
ist ehrlich	6.944468
ist eigentlich	5.024875
ist ein	1.928393
ist eindeutig	6.084267
ist eine	2.366950
ist einen	6.777414
ist einer	5.704777
ist eines	5.391120
ist einfach	4.474829
ist endlich	6.509150
ist enorm	6.857457
ist entscheidend	5.816003
ist er	4.563240
ist ernst	6.046527
ist erst	5.604694
ist erstens	6.703306
ist es	2.097422
ist etwas	4.972916
ist extrem	6.777414
ist fair	6.944468
ist fakt	6.944468
ist falsch	5.430340
ist fast	5.975068
ist fatal	6.634313
ist frau	6.251321
ist für	2.770081
ist ganz	4.669535
ist gar	6.346631
ist gefährlich	6.509150
ist geld	6.297841
ist gelebte	6.346631
ist genau	4.597431
ist genauso	5.787015
ist gerade	5.024875
ist gerecht	6.703306
ist gesagt	6.857457
ist gescheitert	6.206869
ist glaube	6.206869
ist gleich	6.944468
ist gleichzeitig	6.944468
ist groß	6.569775
ist gut	3.725592
ist haben	6.397925
ist halt	6.857457
ist handlungsfähig	6.944468
ist hat	6.164310
ist herr	5.535701
ist heute	4.571679
ist hier	4.422383
ist hoch	6.509150
ist höchste	5.908376
ist ich	4.189072
ist ihnen	5.038298
ist ihr	4.767653
ist ihre	4.444524
ist im	4.116617
ist immer	4.632833
ist in	3.208965
ist insbesondere	6.397925
ist inzwischen	6.634313
ist ist	4.669535
ist ja	3.583462
ist jede	6.777414
ist jedenfalls	6.297841
ist jeder	6.703306
ist jedoch	5.908376
ist jetzt	4.260959
ist kann	6.046527
ist katastrophal	6.703306
ist kaum	6.634313
ist kein	2.906213
ist keine	3.391721
ist klar	3.555466
ist lang	6.944468
ist lassen	6.634313
ist laut	6.857457
ist leider	5.038298
ist liebe	5.787015
ist längst	5.024875
ist mal	6.777414
ist man	5.450543
ist mehr	4.452014
ist mein	5.845856
ist meine	4.960337
ist mir	4.298938
ist mit	4.171880
ist mittlerweile	6.251321
ist muss	5.653484
ist möglich	6.206869
ist nach	4.998558
ist natürlich	4.580190
ist nicht	2.478560
ist nichts	4.614976
ist noch	4.632833
ist notwendig	5.335030
ist nun	5.391120
ist nur	4.292507
ist nämlich	4.669535
ist ob	5.731446
ist oder	5.317012
ist offensichtlich	6.123488
ist oft	6.857457
ist ohne	5.678802
ist passiert	6.703306
ist politik	6.346631
ist politisch	6.164310
ist politische	6.944468
ist real	6.084267
ist rechtlich	6.703306
ist relativ	6.857457
ist richtig	3.935192
ist schlecht	6.251321
ist schlicht	5.787015
ist schlichtweg	6.397925
ist schon	3.870093
ist schäbig	6.703306
ist schön	6.634313
ist sehr	4.778015
ist seine	5.430340
ist seit	5.051904
ist selbst	6.857457
ist selbstverständlich	6.777414
ist sich	5.975068
ist sicher	6.397925
ist sicherheitspolitik	6.944468
ist sicherlich	6.397925
ist sie	4.079673
ist sind	6.206869
ist sinnvoll	6.703306
ist so	4.024244
ist sogar	6.010159
ist somit	6.777414
ist sondern	4.947914
ist stark	6.777414
ist statt	6.857457
ist stefan	6.944468
ist stephan	6.509150
ist symbolpolitik	6.944468
ist tatsächlich	5.678802
ist teil	5.471162
ist teuer	6.297841
ist thomas	6.944468
ist trotz	6.944468
ist trotzdem	6.857457
ist um	4.842554
ist umso	6.857457
ist unantastbar	6.634313
ist und	2.841074
ist unerträglich	6.944468
ist unfassbar	6.944468
ist ungefähr	6.703306
ist ungerecht	6.634313
ist uns	4.522082
ist unser	4.273459
ist unsere	3.985777
ist unter	6.010159
ist unverantwortlich	6.509150
ist unverzichtbar	6.777414
ist verantwortungslos	6.046527
ist verantwortungsvolle	6.944468
ist viel	5.215229
ist viele	6.634313
ist vielen	6.084267
ist vielleicht	5.492216
ist vielmehr	6.703306
ist vollkommen	5.787015
ist vom	6.569775
ist von	4.588773
ist vor	4.947914
ist voraussetzung	6.634313
ist vorbei	5.450543
ist völlig	4.972916
ist wahrscheinlich	6.509150
ist warum	6.206869
ist was	4.757396
ist weder	5.787015
ist weil	5.492216
ist weit	6.346631
ist weiter	6.569775
ist weiterhin	6.346631
ist weltweit	6.777414
ist wenig	6.777414
ist weniger	6.857457
ist wenn	4.345151
ist wer	5.628791
ist wichtig	3.777843
ist wichtiger	6.857457
ist wie	4.311926
ist wieder	5.450543
ist will	6.857457
ist wir	3.861725
ist wird	5.975068
ist wirklich	4.422383
ist wirtschaftlich	6.944468
ist wissen	6.944468
ist wo	6.397925
ist wohl	6.703306
ist zeigt	6.346631
ist zeit	5.731446
ist zentral	6.123488
ist ziemlich	6.703306
ist zu	4.230376
ist zudem	6.857457
ist zugleich	6.251321
ist zum	5.450543
ist zumindest	6.777414
ist zunächst	6.857457
ist zur	6.569775
ist zurzeit	6.297841
ist zutiefst	6.397925
ist zwar	6.010159
ist zynisch	6.857457
ist über	6.046527
ist überfällig	6.164310
ist überhaupt	6.206869
ist übrigens	4.998558
istanbul	6.206869
istanbul konvention	6.569775
it	4.597431
it sicherheit	6.346631
it systeme	6.944468
it takes	6.251321
italien	5.353379
ja aber	5.264826
ja alle	6.046527
ja alles	6.569775
ja am	6.777414
ja an	6.569775
ja auch	3.412774
ja auf	6.634313
ja aus	6.703306
ja bei	5.876628
ja bekanntlich	6.634313
ja bereits	6.703306
ja bitte	6.297841
ja da	5.876628
ja dann	6.046527
ja das	4.254767
ja dass	5.391120
ja den	6.346631
ja der	5.281920
ja die	4.122008
ja diese	6.634313
ja durch	6.944468
ja durchaus	6.944468
ja eben	6.297841
ja eigentlich	6.251321
ja ein	5.704777
ja eine	5.704777
ja einen	6.857457
ja er	6.703306
ja erst	6.857457
ja es	4.393604
ja fast	6.297841
ja frau	6.777414
ja für	6.634313
ja ganz	6.164310
ja gar	5.678802
ja genau	6.451992
ja gerade	5.137671
ja gerne	5.704777
ja gesagt	6.509150
ja gleich	6.634313
ja gut	6.944468
ja herr	6.346631
ja heute	6.010159
ja hier	5.941166
ja ich	5.108257
ja im	5.975068
ja immer	5.299312
ja in	4.820575
ja ja	6.634313
ja jetzt	5.604694
ja kein	6.703306
ja keine	6.569775
ja klar	6.703306
ja leider	6.857457
ja mal	6.084267
ja man	6.451992
ja mehr	6.944468
ja meine	6.164310
ja mit	6.123488
ja mittlerweile	6.857457
ja natürlich	6.084267
ja nicht	4.059160
ja nichts	6.297841
ja noch	5.317012
ja nun	6.634313
ja nur	5.704777
ja oder	6.346631
ja richtig	6.703306
ja sagen	6.944468
ja schon	4.606165
ja sehr	6.084267
ja selbst	6.251321
ja sie	5.231490
ja so	5.581163
ja sogar	5.845856
ja tatsächlich	6.777414
ja um	6.509150
ja und	5.704777
ja unsere	6.857457
ja viel	6.777414
ja viele	6.777414
ja vielleicht	6.569775
ja von	6.346631
ja vor	6.251321
ja was	6.634313
ja wenn	6.634313
ja wer	6.777414
ja wie	6.297841
ja wir	4.059160
ja wirklich	6.777414
ja wohl	6.451992
ja zu	5.471162
ja zum	6.451992
ja zur	6.634313
jacobi	6.703306
jagen	6.857457
jahr	2.056857
jahr aber	6.857457
jahr als	6.569775
jahr also	6.944468
jahr an	6.703306
jahr auch	6.944468
jahr auf	5.678802
jahr aus	6.569775
jahr bei	6.634313
jahr das	4.923523
jahr den	6.509150
jahr der	6.010159
jahr die	5.183480
jahr ein	6.084267
jahr eine	5.908376
jahr einen	6.084267
jahr fast	6.857457
jahr für	4.923523
jahr gab	6.857457
jahr haben	6.297841
jahr hat	6.164310
jahr hinaus	6.944468
jahr ich	6.777414
jahr im	5.787015
jahr in	4.865027
jahr ist	6.046527
jahr mehr	6.634313
jahr milliarden	5.558174
jahr millionen	6.297841
jahr mit	5.876628
jahr nach	6.046527
jahr nicht	6.451992
jahr noch	6.123488
jahr nur	6.451992
jahr rund	6.857457
jahr sie	6.944468
jahr sind	5.975068
jahr später	6.346631
jahr um	5.816003
jahr und	5.051904
jahr von	6.857457
jahr vor	6.777414
jahr war	6.857457
jahr waren	6.857457
jahr werden	6.046527
jahr wieder	6.569775
jahr wir	6.634313
jahr wird	6.346631
jahr wurden	6.084267
jahr zu	5.535701
jahr zum	6.857457
jahr über	6.346631
jahre	2.394426
jahre alt	5.183480
jahre an	6.944468
jahre bis	6.251321
jahre das	5.908376
jahre der	6.944468
jahre die	6.164310
jahre für	5.975068
jahre haben	6.634313
jahre hat	6.944468
jahre her	6.634313
jahre hinweg	6.397925
jahre in	5.450543
jahre ist	6.509150
jahre lang	5.065697
jahre mit	6.634313
jahre nach	5.011630
jahre nicht	6.857457
jahre später	5.248019
jahre und	5.450543
jahre zeit	6.857457
jahre zu	6.346631
jahrelang	5.183480
jahrelange	6.297841
jahrelangen	6.857457
jahrelanger	6.944468
jahren	1.892865
jahren aber	6.509150
jahren als	6.397925
jahren an	6.251321
jahren auch	5.975068
jahren auf	5.558174
jahren aus	6.857457
jahren bei	6.857457
jahren bis	6.084267
jahren bisher	6.569775
jahren das	5.513722
jahren den	6.944468
jahren der	5.758845
jahren des	6.703306
jahren deutlich	6.703306
jahren die	4.935644
jahren ein	5.975068
jahren eine	6.084267
jahren einen	5.941166
jahren für	6.251321
jahren haben	5.678802
jahren hat	5.758845
jahren hier	6.206869
jahren ich	6.944468
jahren im	5.678802
jahren immer	5.941166
jahren in	4.697973
jahren ist	5.845856
jahren kommen	6.634313
jahren massiv	6.944468
jahren mehr	6.944468
jahren milliarden	6.703306
jahren mit	5.758845
jahren nicht	5.248019
jahren noch	5.816003
jahren schon	6.569775
jahren sehr	6.857457
jahren seit	6.777414
jahren sie	6.944468
jahren sind	5.975068
jahren so	6.569775
jahren um	6.397925
jahren und	4.998558
jahren viele	6.944468
jahren von	6.010159
jahren vor	6.509150
jahren war	6.569775
jahren werden	6.569775
jahren wie	6.857457
jahren wieder	6.634313
jahren wir	6.509150
jahren wird	6.634313
jahren wurden	6.777414
jahren zu	6.046527
jahren zuvor	6.944468
jahren über	6.509150
jahres	3.976387
jahresbericht	6.857457
jahresende	6.010159
jahresende die	6.569775
jahrestag	5.975068
jahrestag der	6.703306
jahrgänge	6.346631
jahrgänge in	6.777414
jahrhundert	5.299312
jahrhunderts	5.941166
jahrzehnt	5.975068
jahrzehnte	4.325084
jahrzehntelang	5.492216
jahrzehntelange	6.164310
jahrzehntelangen	6.634313
jahrzehntelanger	6.857457
jahrzehnten	3.981071
jahrzehnten in	6.703306
jakob	6.857457
jakob blankenburg	6.857457
jamila	6.251321
jamila schäfer	6.297841
jan	4.799069
jan dieren	6.569775
jan köstering	6.451992
jan marco	6.251321
janich	6.569775
janine	6.569775
janine wissler	6.569775
janosch	6.634313
janosch dahmen	6.703306
januar	4.985655
japan	6.206869
jasmina	6.944468
jawohl	6.451992
je	3.743942
je mehr	6.634313
je nach	5.845856
je nachdem	6.346631
je zuvor	6.777414
jeanne	6.857457
jeanne dillschneider	6.857457
jede	3.100140
jede einzelne	6.297841
jede form	6.634313
jede frau	6.944468
jede fünfte	6.569775
jede menge	5.941166
jede und	5.908376
jede woche	6.046527
jedem	3.853426
jedem einzelnen	6.164310
jedem fall	6.297841
jeden	2.848610
jeden cent	6.634313
jeden einzelnen	5.628791
jeden euro	6.046527
jeden fall	4.985655
jeden monat	6.206869
jeden morgen	6.251321
jeden preis	6.944468
jeden tag	3.592971
jedenfalls	4.230376
jedenfalls nicht	5.758845
jeder	2.667802
jeder bürger	6.509150
jeder der	5.248019
jeder dritte	6.634313
jeder einzelne	6.123488
jeder einzelnen	6.703306
jeder euro	5.353379
jeder fünfte	6.777414
jeder gelegenheit	6.944468
jeder hinsicht	6.634313
jeder in	6.634313
jeder kann	6.777414
jeder mensch	6.046527
jeder und	6.346631
jeder vierte	6.451992
jeder von	6.084267
jeder weiß	6.857457
jeder zweite	6.164310
jedermann	6.703306
jederzeit	5.758845
jedes	3.321340
jedes einzelne	6.777414
jedes einzelnen	6.509150
jedes jahr	4.194869
jedes kind	6.123488
jedes mal	5.704777
jedoch	3.774019
jedoch aufnahmezusagen	6.569775
jedoch dass	6.944468
jedoch die	6.777414
jedoch in	6.944468
jedoch nicht	5.816003
jegliche	5.876628
jeglicher	6.297841
jemals	5.167976
jemals zuvor	6.944468
jemand	3.930717
jemand der	5.231490
jemand ein	6.944468
jemandem	6.046527
jemanden	5.450543
jemanden der	6.944468
jemen	6.123488
jene	4.853727
jene die	5.678802
jenen	6.123488
jenen die	6.703306
jener	6.164310
jenes	6.777414
jens	4.788487
jens spahn	4.960337
jenseits	5.535701
jenseits der	6.451992
jenseits von	6.944468
jetzige	5.845856
jetzigen	4.899712
jetzigen form	6.297841
jetzigen zeitpunkt	6.944468
jetzt aber	5.372072
jetzt alle	6.451992
jetzt als	6.164310
jetzt also	6.703306
jetzt am	6.857457
jetzt an	5.471162
jetzt angehen	6.857457
jetzt auch	4.064249
jetzt auf	4.960337
jetzt aus	6.703306
jetzt bei	6.397925
jetzt beim	6.944468
jetzt bin	6.944468
jetzt bitte	6.634313
jetzt brauchen	5.908376
jetzt braucht	6.206869
jetzt da	6.857457
jetzt dafür	6.944468
jetzt damit	6.777414
jetzt darum	6.451992
jetzt das	4.429709
jetzt dass	6.634313
jetzt den	5.281920
jetzt der	5.492216
jetzt die	3.985777
jetzt diese	6.397925
jetzt doch	6.569775
jetzt dringend	6.777414
jetzt durch	6.634313
jetzt eigentlich	6.634313
jetzt ein	5.093868
jetzt eine	5.065697
jetzt einen	5.704777
jetzt einfach	6.297841
jetzt einmal	6.944468
jetzt endlich	5.183480
jetzt entschlossen	6.944468
jetzt erst	5.845856
jetzt für	5.492216
jetzt ganz	6.046527
jetzt gar	6.857457
jetzt gehen	6.397925
jetzt geht	5.787015
jetzt gemeinsam	6.164310
jetzt genau	6.569775
jetzt gerade	5.513722
jetzt gerne	6.451992
jetzt gibt	6.297841
jetzt gilt	6.569775
jetzt habe	6.397925
jetzt haben	5.215229
jetzt handeln	6.251321
jetzt hat	5.513722
jetzt hier	5.051904
jetzt hören	6.164310
jetzt ich	6.944468
jetzt im	5.108257
jetzt immer	6.777414
jetzt in	4.279768
jetzt ist	4.688403
jetzt ja	6.857457
jetzt kann	6.569775
jetzt keine	6.397925
jetzt komme	6.297841
jetzt kommen	5.604694
jetzt kommt	5.335030
jetzt können	6.346631
jetzt machen	6.397925
jetzt mal	4.888016
jetzt mehr	6.346631
jetzt millionen	6.777414
jetzt mit	4.678924
jetzt muss	5.975068
jetzt möchte	6.777414
jetzt müssen	5.876628
jetzt nach	5.731446
jetzt natürlich	6.777414
jetzt nicht	4.260959
jetzt noch	4.546573
jetzt nur	5.758845
jetzt sagen	6.010159
jetzt schnell	6.046527
jetzt schon	4.194869
jetzt sehr	6.397925
jetzt seit	6.634313
jetzt sind	5.653484
jetzt so	5.731446
jetzt sogar	6.703306
jetzt soll	6.397925
jetzt stehen	6.703306
jetzt tun	6.857457
jetzt um	6.123488
jetzt und	5.335030
jetzt unsere	6.944468
jetzt viel	6.703306
jetzt vielleicht	6.777414
jetzt von	5.758845
jetzt vor	6.346631
jetzt weiter	6.634313
jetzt wenn	6.944468
jetzt werden	6.451992
jetzt wieder	5.137671
jetzt will	6.634313
jetzt wir	5.941166
jetzt wird	5.653484
jetzt wirklich	5.845856
jetzt wo	5.731446
jetzt wollen	6.346631
jetzt wäre	6.857457
jetzt zu	5.215229
jetzt zum	5.535701
jetzt zur	6.164310
jetzt zwei	6.857457
jetzt über	5.816003
jeweiligen	5.704777
jeweils	5.079684
jeweils inklusive	6.569775
jo	6.944468
joachim	6.084267
job	4.788487
jobcenter	5.492216
jobcentern	6.297841
jobs	4.737193
jobs in	6.857457
jobs und	6.703306
johann	6.251321
johann wadephul	6.857457
johannes	5.079684
johannes fechner	6.944468
johannes volkmann	6.857457
john	6.703306
josef	6.164310
journalismus	6.944468
journalisten	5.122856
journalisten aufgenommen	6.634313
journalistinnen	5.535701
journalistinnen und	5.704777
juden	5.264826
juden in	6.944468
jugend	4.935644
jugend und	6.857457
jugendarbeit	6.123488
jugendhilfe	5.678802
jugendliche	4.831504
jugendliche und	6.857457
jugendlichen	4.960337
jugendlichen die	6.703306
jugendorganisation	6.297841
jugendplan	6.703306
jugendschutz	6.944468
jugoslawien	6.703306
juli	4.876455
julia	5.758845
julia schneider	6.857457
julian	6.703306
jung	5.281920
jung kauft	6.634313
jung und	6.857457
junge	3.537229
junge familien	6.251321
junge generation	5.758845
junge gruppe	6.703306
junge leute	6.569775
junge menschen	4.279768
junge männer	6.451992
jungen	3.812934
jungen generation	5.876628
jungen gruppe	6.634313
jungen leute	6.944468
jungen menschen	4.799069
jungen und	6.634313
junger	5.335030
junger menschen	6.123488
juni	4.799069
juristen	6.703306
juristisch	5.908376
juristische	6.164310
juristischen	6.634313
justiz	4.563240
justiz die	6.569775
justiz ist	6.777414
justiz und	5.731446
justizhaushalt	6.944468
justizminister	6.944468
justizministerin	6.123488
justizministerium	6.451992
jährige	6.206869
jährigen	5.816003
jähriger	6.634313
jährlich	4.029158
jährlich für	6.777414
jährlich milliarden	6.509150
jährlich millionen	6.857457
jährliche	5.845856
jährlichen	5.876628
jährt	6.944468
jährt sich	6.944468
jörg	6.297841
jörg cezanne	6.944468
jörn	6.703306
jörn könig	6.703306
jüdinnen	5.845856
jüdinnen und	5.845856
jüdische	6.046527
jüdischen	6.164310
jüdisches	6.634313
jüdisches leben	6.777414
jülich	6.251321
jünger	6.857457
jüngere	6.569775
jüngeren	5.908376
jüngst	5.492216
jüngste	6.123488
jüngsten	5.628791
jürgen	5.353379
jürgen goßner	6.944468
jürgen hardt	6.123488
kabinett	4.865027
kabinett beschlossen	6.857457
kabinettsmitglieder	6.634313
kabinettsmitglieder als	6.634313
kabinettsmitgliedern	6.569775
kabinettsmitgliedern und	6.569775
kabul	6.703306
kaddor	6.634313
kaffee	6.634313
kahlschlag	6.164310
kai	6.634313
kaiser	6.346631
kalkül	6.703306
kalt	6.569775
kalte	6.703306
kalten	5.535701
kalten krieges	6.397925
kam	3.967085
kam das	6.634313
kam die	6.346631
kam es	6.123488
kamen	5.281920
kameraden	5.941166
kameradschaft	6.944468
kameras	6.857457
kampagne	6.206869
kampagnen	6.251321
kampf	4.154978
kampf gegen	4.651016
kampf um	6.634313
